StudyID,Subgroup,Age_Group,Country,Device_Brand,Sampling_Rate_Hz,Sleep_Objective_Yes_No,Behavior,Minutes,Mean_Type,StudyID_display
"Chastin, Palarea-Albaladejo, Dontje (2015)",Full,Adult,USA,Actigraph,NR,No,Sleep,407.66,Arithmetic,"Chastin, Palarea-Albaladejo, Dontje (2015) (Full)"
"Chastin, Palarea-Albaladejo, Dontje (2015)",Full,Adult,USA,Actigraph,NR,No,SB,579.02,Arithmetic,"Chastin, Palarea-Albaladejo, Dontje (2015) (Full)"
"Chastin, Palarea-Albaladejo, Dontje (2015)",Full,Adult,USA,Actigraph,NR,No,LPA,422.21,Arithmetic,"Chastin, Palarea-Albaladejo, Dontje (2015) (Full)"
"Chastin, Palarea-Albaladejo, Dontje (2015)",Full,Adult,USA,Actigraph,NR,No,MVPA,31.1,Arithmetic,"Chastin, Palarea-Albaladejo, Dontje (2015) (Full)"
"Carson, Tremblay, Chaput (2016)",Full,Children,Canada,Actical,NR,No,Sleep,NR,Arithmetic,"Carson, Tremblay, Chaput (2016) (Full)"
"Carson, Tremblay, Chaput (2016)",Full,Children,Canada,Actical,NR,No,SB,NR,Arithmetic,"Carson, Tremblay, Chaput (2016) (Full)"
"Carson, Tremblay, Chaput (2016)",Full,Children,Canada,Actical,NR,No,LPA,NR,Arithmetic,"Carson, Tremblay, Chaput (2016) (Full)"
"Carson, Tremblay, Chaput (2016)",Full,Children,Canada,Actical,NR,No,MVPA,NR,Arithmetic,"Carson, Tremblay, Chaput (2016) (Full)"
"Fairclough, Dumuid, Taylor (2017)",Full,Children,England,ActiGraph,30,Yes,Sleep,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Full)"
"Fairclough, Dumuid, Taylor (2017)",Full,Children,England,ActiGraph,30,Yes,SB,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Full)"
"Fairclough, Dumuid, Taylor (2017)",Full,Children,England,ActiGraph,30,Yes,LPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Full)"
"Fairclough, Dumuid, Taylor (2017)",Full,Children,England,ActiGraph,30,Yes,MVPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Full)"
"Fairclough, Dumuid, Taylor (2017)",Underweight,Children,England,ActiGraph,30,Yes,Sleep,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Underweight)"
"Fairclough, Dumuid, Taylor (2017)",Underweight,Children,England,ActiGraph,30,Yes,SB,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Underweight)"
"Fairclough, Dumuid, Taylor (2017)",Underweight,Children,England,ActiGraph,30,Yes,LPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Underweight)"
"Fairclough, Dumuid, Taylor (2017)",Underweight,Children,England,ActiGraph,30,Yes,MVPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Underweight)"
"Fairclough, Dumuid, Taylor (2017)",Normal weight,Children,England,ActiGraph,30,Yes,Sleep,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Normal weight)"
"Fairclough, Dumuid, Taylor (2017)",Normal weight,Children,England,ActiGraph,30,Yes,SB,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Normal weight)"
"Fairclough, Dumuid, Taylor (2017)",Normal weight,Children,England,ActiGraph,30,Yes,LPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Normal weight)"
"Fairclough, Dumuid, Taylor (2017)",Normal weight,Children,England,ActiGraph,30,Yes,MVPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Normal weight)"
"Fairclough, Dumuid, Taylor (2017)",Overweight/obese,Children,England,ActiGraph,30,Yes,Sleep,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Overweight/obese)"
"Fairclough, Dumuid, Taylor (2017)",Overweight/obese,Children,England,ActiGraph,30,Yes,SB,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Overweight/obese)"
"Fairclough, Dumuid, Taylor (2017)",Overweight/obese,Children,England,ActiGraph,30,Yes,LPA,NR,Arithmetic,"Fairclough, Dumuid, Taylor (2017) (Overweight/obese)"
